"DepHour","Origin","OrigLong","OrigLat","ArrHour","Dest","DestLong","DestLat","n"
"14","ABE",-75.44,40.65,"15","PIT",-80.23,40.49,88
"12","ABE",-75.44,40.65,"13","PIT",-80.23,40.49,91
"08","ABE",-75.44,40.65,"08","PIT",-80.23,40.49,92
"18","ABE",-75.44,40.65,"19","PIT",-80.23,40.49,89
"18","ABE",-75.44,40.65,"20","ATL",-84.42,33.63,90
"18","ABE",-75.44,40.65,"19","DTW",-83.35,42.21,24
"08","ABE",-75.44,40.65,"10","ATL",-84.42,33.63,16
"17","ABE",-75.44,40.65,"19","DTW",-83.35,42.21,47
"15","ABE",-75.44,40.65,"16","DTW",-83.35,42.21,88
"10","ABE",-75.44,40.65,"10","AVP",-75.72,41.33,92
"16","ABE",-75.44,40.65,"16","AVP",-75.72,41.33,87
"08","ABE",-75.44,40.65,"09","ATL",-84.42,33.63,74
"07","ABE",-75.44,40.65,"08","DTW",-83.35,42.21,91
"17","ABE",-75.44,40.65,"18","ORD",-87.90,41.97,89
"23","ABE",-75.44,40.65,"23","PHL",-75.24,39.87,27
"09","ABE",-75.44,40.65,"10","MDT",-76.76,40.19,29
"10","ABE",-75.44,40.65,"10","MDT",-76.76,40.19,55
"08","ABE",-75.44,40.65,"08","ORD",-87.90,41.97,30
"07","ABE",-75.44,40.65,"08","ORD",-87.90,41.97,59
"16","ABQ",-106.60,35.04,"19","STL",-90.37,38.74,87
"16","ABQ",-106.60,35.04,"17","PHX",-112.01,33.43,118
"17","ABQ",-106.60,35.04,"18","PHX",-112.01,33.43,21
"08","ABQ",-106.60,35.04,"10","SLC",-111.97,40.78,14
"08","ABQ",-106.60,35.04,"12","STL",-90.37,38.74,88
"16","ABQ",-106.60,35.04,"16","PHX",-112.01,33.43,42
"17","ABQ",-106.60,35.04,"17","PHX",-112.01,33.43,22
"18","ABQ",-106.60,35.04,"20","SLC",-111.97,40.78,16
"19","ABQ",-106.60,35.04,"20","PHX",-112.01,33.43,125
"14","ABQ",-106.60,35.04,"14","PHX",-112.01,33.43,23
"13","ABQ",-106.60,35.04,"15","SLC",-111.97,40.78,72
"11","ABQ",-106.60,35.04,"14","STL",-90.37,38.74,88
"19","ABQ",-106.60,35.04,"20","SLC",-111.97,40.78,71
"21","ABQ",-106.60,35.04,"22","PHX",-112.01,33.43,46
"19","ABQ",-106.60,35.04,"21","PHX",-112.01,33.43,1
"19","ABQ",-106.60,35.04,"19","PHX",-112.01,33.43,46
"20","ABQ",-106.60,35.04,"22","SAT",-98.46,29.53,59
"11","ABQ",-106.60,35.04,"12","PHX",-112.01,33.43,84
"09","ABQ",-106.60,35.04,"10","SLC",-111.97,40.78,75
"05","ABQ",-106.60,35.04,"09","STL",-90.37,38.74,77
"12","ABQ",-106.60,35.04,"14","SLC",-111.97,40.78,17
"20","ABQ",-106.60,35.04,"23","TUL",-95.88,36.19,81
"11","ABQ",-106.60,35.04,"11","TUS",-110.94,32.11,24
"15","ABQ",-106.60,35.04,"16","PHX",-112.01,33.43,47
"18","ABQ",-106.60,35.04,"19","PHX",-112.01,33.43,46
"21","ABQ",-106.60,35.04,"22","TUS",-110.94,32.11,66
"20","ABQ",-106.60,35.04,"21","PHX",-112.01,33.43,18
"20","ABQ",-106.60,35.04,"20","PHX",-112.01,33.43,19
"16","ABQ",-106.60,35.04,"17","SFO",-122.37,37.61,89
"11","ABQ",-106.60,35.04,"12","TUS",-110.94,32.11,66
"14","ABQ",-106.60,35.04,"15","PHX",-112.01,33.43,20
"15","ABQ",-106.60,35.04,"16","SAN",-117.19,32.73,82
"21","ABQ",-106.60,35.04,"21","TUS",-110.94,32.11,23
"10","ABQ",-106.60,35.04,"11","ELP",-106.37,31.80,86
"05","ABQ",-106.60,35.04,"07","DFW",-97.03,32.89,92
"13","ABQ",-106.60,35.04,"16","DFW",-97.03,32.89,17
"06","ABQ",-106.60,35.04,"09","DFW",-97.03,32.89,89
"22","ABQ",-106.60,35.04,"00","AMA",-101.70,35.21,67
"22","ABQ",-106.60,35.04,"23","ELP",-106.37,31.80,72
"21","ABQ",-106.60,35.04,"22","DEN",-104.67,39.86,1
"19","ABQ",-106.60,35.04,"21","ELP",-106.37,31.80,1
"07","ABQ",-106.60,35.04,"08","ELP",-106.37,31.80,59
"10","ABQ",-106.60,35.04,"11","DEN",-104.67,39.86,174
"11","ABQ",-106.60,35.04,"12","ELP",-106.37,31.80,89
"16","ABQ",-106.60,35.04,"19","DFW",-97.03,32.89,176
"20","ABQ",-106.60,35.04,"22","DFW",-97.03,32.89,89
"13","ABQ",-106.60,35.04,"14","DEN",-104.67,39.86,110
